UBl,ULf,URb,LUb,LBd,LFu,LDf,FUl,FLd,FRu,FDr,RUf,RFd,RBu,RDb,BUr,BLu,BRd,BDl,DBr,DLb,DRf,DFl
,"[Lw' U: [U l U', L]]","[Rw' U: [R, U r U']]","[x' U: [L', U r2 U']]","[L': [l' D' l, U2]]","[L: [l' D' l, U2]]","[U2, r' D r]","[Lw' D': [r' D' r, U2]]","[Rw' U': [L', U' r U]]","[Lw' U': [U' l U, R]]","[U R' U': [U' R U, r]]","[x' U': [R, U' r2 U]]","[R': [U2, r' D' r]]","[U: [L' u' L, U2]]","[U2, r' D' r]","[Lw' D' R: [r, U R U']]","[Rw' U': [L, U' r U]]","[Lw' U': [U' l U, R']]","[D': [U2, r' D' r]]","[U R' U': [U' R U, r2]]","[Lw' U: [U l U', L']]","[Rw' U: [R', U r U']]","[U' R' U: [l2, U R U']]"
"[Lw' U: [L, U l U']]",,"[Rw' U': [U' R U, r]]","[U' Rw' Lw' U: [R, U r U']]","[Lw' D: [U L U', r]]","[U': [U', R' u' R]]","[U', r' D r]","[Lw U: [L', U l2 U']]","[3Rw': [L', U' r U]]","[L' u2 L, U]","[U': [r, R U' R' U]]","[U': [r', R' U' R U]]","[R': [U', r' D' r]]","[L' u' L, U]","[U', r' D' r]","[Lw U L' U', r']","[u: [L' u' L, U]]","[r' U': [U' R' U, r]]","[D: [U', r' D r]]","[U': [r2, R U' R' U]]","[D' U': [r2, R U' R' U]]","[Rw' U': [U' R' U, r]]","[Lw U: [L', U l U']]"
"[Rw' U: [U r U', R]]","[Rw' U': [r, U' R U]]",,"[U': [l', Rw U R' U']]","[z': [U r' U', L']]","[R' u' R, U']","[U, r' D r]","[Lw' Rw' U: [U r U', R]]","[z': [U r2 U', L']]","[4Lw: [R, U r U']]","[R U' R' U, r]","[U' Rw U: [U r2 U', R']]","[R' D': [U' R U, r]]","[R D': [U' R' U, r]]","[R' u R, U']","[R' U' R U, r']","[z': [U' l2 U, L']]","[r': [R', U r U']]","[D: [U, r' D r]]","[R U' R' U, r2]","[D': [R U' R' U, r2]]","[3Lw: [R2, U r U']]","[3Lw: [r U r', D2]]"
"[x' U: [U r2 U', L']]","[U' Rw' Lw' U: [U r U', R]]","[U': [Rw U R' U', l']]",,"[x': [U r2 U', L']]","[3Rw': [L', U r2 U']]","[3Rw': [L2, U r2 U']]","[Rw2: [l D2 l', U']]","[F': [U r2 U', L']]","[L: [R U' R', u']]","[3Lw': [U' L U, r]]","[Rw' U: [U R U', r2]]","[r' U: [U R U', r2]]","[r' U: [U R' U', r2]]","[Rw' U: [U R' U', r2]]","[r, Lw' U' L U]","[3Lw' D': [U' L U, r']]","[Rw: [U, r D r']]","[x U': [U' l' U, L]]","[3Lw': [U' L U, r2]]","[z y': [l', U R' U']]","[r: [U, r D r']]","[Rw: [U, r D2 r']]"
"[L': [U2, l' D' l]]","[Lw' D: [r, U L U']]","[z': [L', U r' U']]","[x': [L', U r2 U']]",,"[x': [L2, U r2 U']]","[D r' D', L']","[Lw': [r' D r, U2]]","[z: [U' R U, l]]","[z' U: [L', U r' U']]","[r: [U' L U, r]]","[x' U: [U R U', r2]]","[3Lw U: [U R U', r2]]","[Rw' U': [r2, U' L U]]","[x' U: [U R' U', r2]]","[r, U' L U]","[z Rw': [r' D' r, U2]]","[z': [U' L' U, r']]","[3Rw U': [L, U' l' U]]","[r: [U' L U, r2]]","[Rw D': [U' L U, r']]","[D r: [U' L U, r2]]","[Rw U': [L, U' l' U]]"
"[L: [U2, l' D' l]]","[U': [R' u' R, U']]","[U', R' u' R]","[3Rw': [U r2 U', L']]","[x': [U r2 U', L2]]",,"[D r' D', L]","[Rw' U: [U r2 U', L']]","[z Rw' U': [R2, U' r2 U]]","[R U' R', u']","[r: [U' L' U, r]]","[r' U': [r2, U' L' U]]","[R' y': [R, U' l U]]","[z r': [U R U', r2]]","[y': [R, U' l U]]","[r, U' L' U]","[z: [U R U', r]]","[R': [U', R' u' R]]","[U' M: [R' u' R, U]]","[r: [U' L' U, r2]]","[y': [R, U' l2 U]]","[R: [R U' R', u']]","[Uw': [R, U' l2 U]]"
"[r' D r, U2]","[r' D r, U']","[r' D r, U]","[3Rw': [U r2 U', L2]]","[L', D r' D']","[L, D r' D']",,"[l': [U2, l' D' l]]","[D: [r, U L' U']]","[D: [r, U' R' U]]","[U': [r U r', D]]","[D Rw: [r, U R' U']]","[y': [U r U', R']]","[y U: [l, U R U']]","[U D': [r U' r', D2]]","[Lw': [r, U' L' U]]","[D: [r, U L U']]","[D: [r, U' R' U]]","[U': [l U' l', D']]","[3Lw': [U' L' U, r2]]","[y Rw: [r U' r', D2]]","[R D: [r, U' R U]]","[D: [r, U' R2 U]]"
"[Lw' D: [U2, r' D r]]","[Lw U: [U l2 U', L']]","[Lw' Rw' U: [R, U r U']]","[Rw2: [U', l D2 l']]","[Lw': [U2, r' D r]]","[Rw' U: [L', U r2 U']]","[l': [l' D' l, U2]]",,"[Lw2 U: [U l U', L]]","[Lw U': [U' l2 U, R]]","[Lw' D': [U2, r' D r]]","[Rw' U': [R, U' r2 U]]","[Rw2 U': [R', U' r' U]]","[r' U': [R', U' r2 U]]","[Rw' U': [R', U' r2 U]]","[Rw D': [U2, r D r']]","[Lw2 U: [U l U', L']]","[Rw: [U2, r D r']]","[D' Rw' U': [R', U' r2 U]]","[D Rw: [U2, r D' r']]","[Rw: [U2, r D' r']]","[r: [U2, r D r']]","[Rw D': [U2, r D' r']]"
"[Rw' U': [U' r U, L']]","[3Rw': [U' r U, L']]","[z': [L', U r2 U']]","[F': [L', U r2 U']]","[z: [l, U' R U]]","[z Rw' U': [U' r2 U, R2]]","[D: [U L' U', r]]","[Lw2 U: [L, U l U']]",,"[z U': [U' r2 U, R]]","[U L' U', r]","[z D': [l', U' R U]]","[z: [l', U' R U]]","[L': [L' u' L, U]]","[D': [U L' U', r]]","[U L' U', r']","[3Rw' L': [L2, U' r U]]","[z': [U' L' U, r2]]","[U: [L', U l U']]","[U L' U', r2]","[D' r2 D, L]","[D: [U L' U', r2]]","[U: [L', U l2 U']]"
"[Lw' U': [R, U' l U]]","[U, L' u2 L]","[3Lw: [U r U', R]]","[L: [u', R U' R']]","[z' U: [U r' U', L']]","[u', R U' R']","[D: [U' R' U, r]]","[Lw U': [R, U' l2 U]]","[z U': [R, U' r2 U]]",,"[U' R U, r]","[F: [R, U' r2 U]]","[Dw 3Lw R: [R2, U r U']]","[u', R U' R']","[D': [U' R U, r]]","[U' R U, r']","[z: [U R U', r2]]","[Rw': [U r U', R2]]","[U': [R, U' l U]]","[U' R U, r2]","[D': [U' R U, r2]]","[R', D r2 D']","[U': [U' l2 U, R]]"
