Ubl,Ubr,Ufl,Lub,Luf,Ldb,Ldf,Ful,Fur,Fdl,Fdr,Ruf,Rub,Rdf,Rdb,Bul,Bur,Bdl,Bdr,Dbl,Dbr,Dfl,Dfr
,,,"[U2, r u r']","[U': [U2, r' u' r]]","[U': [U2, r d' r']]","[U2, r' d r]","[U2, r u2 r']","[y: [r' u' r, U2]]","[y: [r d' r', U2]]","[l' d2 l, U2]","[U2, r u' r']","[U': [U2, r' u r]]","[U: [r d r', U2]]","[U2, r' d' r]","[y: [r' u r, U2]]","[U2, l u2 l']","[U2, r' d2 r]","[y: [r d r', U2]]","[Rw' U': [l2, U' r U]]","[D' Lw' U': [U' l U, r2]]","[Rw U'D': [l2, U' r' U]]","[Lw' U': [U' l U, r2]]"
,,,"[U, r u r']","[r' u' r, U']","[r d' r', U']","[U, r' d r]","[U, r u2 r']","[y': [U, r' u r]]","[r d2 r', U']","[y: [r' d r, U']]","[U, r u' r']","[r' u r, U']","[r d r', U']","[U, r' d' r]","[r' u2 r, U']","[y: [U', r u' r']]","[U, r' d2 r]","[y': [U, r d' r']]","[x: [d2, r' U' r]]","[U Lw: [r2, U l' U']]","[x': [r U r', d2]]","[U' Lw': [U' l U, r2]]"
,,,"[U', r u r']","[l' u l, U]","[l d l', U]","[U', r' d r]","[U', r u2 r']","[l' u2 l, U]","[x: [U' r' U, l]]","[x: [r', U l U']]","[U', r u' r']","[l' u' l, U]","[l d' l', U]","[U', r' d' r]","[x': [U' r U, l']]","[x': [U l' U', r]]","[U', r' d2 r]","[y': [U', r d' r']]","[Rw': [l2, U' r U]]","[Lw: [U l' U', r2]]","[Rw' D': [l2, U' r U]]","[Lw D: [U l' U', r2]]"
"[r u r', U2]","[r u r', U]","[r u r', U']",,,,,"[l' U2 l, u']","[U': [Uw' l' Uw, r]]","[Uw: [U' r' U, l']]","[Lw: [Uw l Uw', r]]","[Uw: [u2, r' U' r]]","[x' z' U: [U r U', l2]]","[y: [U' r' U, l']]","[x' z: [r2, U l' U']]","[L: [l U l', u]]","[Uw: [r' U' r, u']]","[l: [U2, l u' l']]","[Uw': [U' l' U, r']]","[u: [r', U l2 U']]","[Lw: [Uw l Uw', r2]]","[l': [l' U2 l, u']]","[Uw': [U' l' U, r2]]"
"[U': [r' u' r, U2]]","[U', r' u' r]","[U, l' u l]",,,,,"[L': [l' U2 l, u']]","[U: [r U2 r', u']]","[x: [u, r' U' r]]","[Uw l Uw', r]","[R2 y: [l, U' r U]]","[u': [l U l', u2]]","[R' y: [l, U' r U]]","[y: [l, U' r U]]","[l U l', u]","[r', Uw l Uw']","[x': [d, r U2 r']]","[x' U': [d, r U2 r']]","[l: [l U l', u]]","[Uw l Uw', r2]","[Uw': [r, U' l2 U]]","[D: [Uw l Uw', r2]]"
"[U': [r d' r', U2]]","[U', r d' r']","[U, l d l']",,,,,"[Lw': [r' d r, U2]]","[U r: [U2, r d' r']]","[l' U l, d]","[z d2: [d', r' U r]]","[y' U: [U l' U', r']]","[Uw r: [U2, r d' r']]","[d': [l' U l, d2]]","[x' z U: [r2, U l' U']]","[x' r: [r u r', U']]","[z: [r' U r, d]]","[Lw: [U2, l u' l']]","[d: [d, l' U l]]","[l': [l' U l, d]]","[z d: [r' U r, d2]]","[Ll': [l' U2 l, u']]","[Dw: [U l' U', r2]]"
"[r' d r, U2]","[r' d r, U]","[r' d r, U']",,,,,"[l': [U2, l' d' l]]","[U'Dw': [U' l U, r]]","[l': [r' d r, U']]","[U: [r U' r', d]]","[z' r: [r U2 r', u']]","[z' r: [r U r', u']]","[R' y: [r U' r', d2]]","[y: [r U' r', d2]]","[Dw: [r, U l U']]","[z: [r' U2 r, d]]","[l U2 l', d']","[U' z d2: [d, r U' r']]","[d: [r, U l2 U']]","[U r: [r U' r', d]]","[l: [l U2 l', d']]","[UD r: [r U' r', d]]"
"[r u2 r', U2]","[r u2 r', U]","[r u2 r', U']","[u', l' U2 l]","[L': [u', l' U2 l]]","[Lw': [U2, r' d r]]","[l': [l' d' l, U2]]",,,,,"[u, l' U2 l]","[U2: [l', Uw r Uw']","[x: [r' U2 r, u']]","[Lw': [U2, r' d' r]]","[x U': [l2, U' r' U]]","[u2, l' U2 l]","[U' x': [U r U', l2]]","[U': [U' l' U, r']]","[x U': [l', U' r' U]]","[D'U': [U' l' U, r2]]","[U' x: [l', U r' U']]","[U': [U' l' U, r2]]"
"[y: [U2, r' u' r]]","[y': [r' u r, U]]","[U, l' u2 l]","[U': [r, Uw' l' Uw]]","[U: [u', r U2 r']]","[U r: [r d' r', U2]]","[U'Dw': [r, U' l U]]",,,,,"[U R: [u, r U2 r']]","[U: [u, r U2 r']]","[z' x: [u, r' U2 r]]","[R' U: [u, r U2 r']]","[l U l', u2]","[U x U: [r2, U l U']]","[U': [r, U' l U]]","[U2 x': [U' l U, r2]]","[x U: [U l' U', r']]","[y r: [r U2 r', u']]","[U': [r, U' l2 U]]","[D' U': [r, U' l2 U]]"
"[y: [U2, r d' r']]","[U', r d2 r']","[x: [l, U' r' U]]","[Uw: [l', U' r' U]]","[x: [r' U' r, u]]","[d, l' U l]","[l': [U', r' d r]]",,,,,"[u': [U l' U', r']]","[l': [l' u' l, U]]","[d', l' U l]","[Lw': [U', r' d' r]]","[x: [l2, U' r' U]]","[U l' U', r']","[x' U': [U' r U, l2]]","[d2, l' U l]","[x: [l', U' r' U]]","[U l' U', r2]","[x: [r' U' r, u2]]","[D: [U l' U', r2]]"
"[U2, l' d2 l]","[y: [U', r' d r]]","[x: [U l U', r']]","[Lw: [r, Uw l Uw']]","[r, Uw l Uw']","[z d2: [r' U r, d']]","[U: [d, r U' r']]",,,,,"[z': [r U2 r', u']]","[z': [r U r', u']]","[R' U: [d', r U' r']]","[U: [d', r U' r']]","[r, U l U']","[U x': [U l' U', r2]]","[U: [d2, r U' r']]","[x Uw': [r2, Uw' l' Uw]]","[r, U l2 U']","[D: [r, U l2 U']]","[D': [r, U l2 U']]","[D2: [r, U l2 U']]"
"[r u' r', U2]","[r u' r', U]","[r u' r', U']","[Uw: [r' U' r, u2]]","[R2 y: [U' r U, l]]","[y' U: [r', U l' U']]","[z' r: [u', r U2 r']]","[l' U2 l, u]","[U R: [r U2 r', u]]","[u': [r', U l' U']]","[z': [u', r U2 r']]",,,,,"[U: [Uw' r' Uw, l]]","[U: [r' U' r, u']]","[Lw: [r u' r', U2]]","[Uw U: [l', U r' U']]","[u': [r', U l2 U']]","[x z': [u2, r U r']]","[l': [l' U2 l, u]]","[Uw U: [l', U r2 U']]"
"[U': [r' u r, U2]]","[U', r' u r]","[U, l' u' l]","[x' z' U: [l2, U r U']]","[u: [l U l', u2]]","[Uw r: [r d' r', U2]]","[z' r: [u', r U r']]","[U2: [Uw r Uw', l']","[U: [r U2 r', u]]","[l': [U, l' u' l]]","[z': [u', r U r']]",,,,,"[l U l', u']","[z' u': [r U r', u']]","[z' r': [r' u' r, U]]","[y r: [r d r', U2]]","[l: [l U l', u']]","[z' u': [r U r', u2]]","[R y: [U' r U, l2]]","[y U: [U r U', l2]]"
"[U': [r d r', U2]]","[U', r d r']","[U, l d' l']","[y: [l', U' r' U]]","[R' y: [U' r U, l]]","[d: [l' U l, d2]]","[R' y: [d2, r U' r']]","[x: [u', r' U2 r]]","[z' x: [r' U2 r, u]]","[l' U l, d']","[R' U: [r U' r', d']]",,,,,"[x': [d', r U' r']]","[z': [u, l U l']]","[x': [d', r U2 r']]","[z': [r', Uw l Uw']]","[l': [l' U l, d']]","[d': [U l' U', r2]]","[y' D': [r', U' l2 U]]","[U2 r': [r' U r, d]]"
